,0
close,-0.3245966020660804
ret_01,-0.7915990779475796
ret_03,-0.809100998890122
ret_05,-0.8074788696320326
ret_10,-0.8219926577307265
ret_21,-0.8061982412703833
ret_42,-0.7670963886280202
ret_63,-0.7350806795867838
ret_126,-0.7112609920601041
ret_252,-0.6866729275164348
BB_UP,0.9001963630154529
BB_LOW,0.5357295312900197
BB_SQUEEZE,0.6719030137454111
PLUS_DI,-0.8176385213011184
MINUS_DI,0.8572526252881413
ADX,-0.1500042687612055
ADXR,-0.1390762400751302
APO,-0.6031759583368906
PPO,-0.8328353111926919
AROONOSC,-0.841628959276018
BOP,-0.8681806539742166
CCI,-0.8682660291983266
MACD,-0.6349355417057969
MACD_SIGNAL,-0.5598053444890292
MACD_HIST,-0.6596943566976862
CMO,-0.8563988730470417
MFI,-0.8323230598480321
RSI,-0.8564842482711515
STOCHRSI,-0.8482028515324853
STOCH,0.8535814906514129
ULTOSC,-0.8873900793989584
WILLR,-0.8677537778536668
AD,-0.4448902928370187
ADOSC,-0.88363356953812
OBV,-0.5685136173482455
ATR,0.49765218133697603
NATR,0.643899940237343
ALPHA_63,-0.6779646546572184
MARKET_63,0.3706138478613506
SMB_63,0.30888756082984714
HML_63,0.2911295142149748
RMW_63,-0.34004951762998376
CMA_63,-0.29061726287031503
ALPHA_252,-0.5724408776573038
MARKET_252,0.30794843336463756
SMB_252,0.27354221804832235
HML_252,0.20874242294886022
RMW_252,-0.36950396994792106
CMA_252,-0.1983266456074447
month,0.16870144284128744
weekday,-0.7284214121062067
