,0
AD,34.0
ADOSC,22.666666666666668
ADX,38.333333333333336
ADXR,38.666666666666664
ALPHA_252,13.0
ALPHA_63,30.333333333333332
APO,32.0
AROONOSC,7.333333333333333
ATR,18.0
BB_LOW,33.333333333333336
BB_SQUEEZE,30.666666666666668
BB_UP,22.0
BOP,6.666666666666667
CCI,23.0
CMA_252,24.0
CMA_63,36.666666666666664
CMO,24.666666666666668
HML_252,37.333333333333336
HML_63,36.333333333333336
MACD,31.666666666666668
MACD_HIST,31.0
MACD_SIGNAL,18.666666666666668
MARKET_252,36.0
MARKET_63,34.333333333333336
MFI,26.333333333333332
MINUS_DI,24.0
NATR,31.333333333333332
OBV,32.666666666666664
PLUS_DI,27.0
PPO,26.0
RMW_252,34.666666666666664
RMW_63,35.0
RSI,24.333333333333332
SMB_252,37.0
SMB_63,35.666666666666664
STOCH,10.666666666666666
STOCHRSI,25.333333333333332
ULTOSC,22.333333333333332
WILLR,23.666666666666668
close,35.333333333333336
month,17.0
ret_01,13.0
ret_03,27.333333333333332
ret_05,9.333333333333334
ret_10,11.0
ret_126,29.666666666666668
ret_21,28.0
ret_252,30.0
ret_42,28.666666666666668
ret_63,10.666666666666666
weekday,9.333333333333334
